"","X","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","is_learning","relative_depth","is_exploratory_replay","seed","dir","true_seed","is_necessary_exploratory_replay","first_learning_depth","depth_frac"
"122",122,"Learning",34,0.993972273235294,1.12468376007452e+78,"Learning",983,0.68,"Small",TRUE,-350,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.737434358589647
"123",123,"Mixed bet hedging",3,0.883873533333333,3.8061351156128e+64,"Mixed bet hedging",983,0.06,"Small",FALSE,-350,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.737434358589647
"124",124,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",983,0,"Small",FALSE,-350,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.737434358589647
"125",125,"Other",0,NA,NA,"Other",983,0,"Small",FALSE,-350,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.737434358589647
"126",126,"Low activity",0,NA,NA,"Low activity",983,0,"Small",FALSE,-350,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.737434358589647
"127",127,"Error correction",7,0.799013641428571,8.67547328676439e+89,"Error correction",1043,0.14,"Error correction",FALSE,-400,TRUE,299,"../../2023_05_22_01__seeds_0_500",299,TRUE,1443,0.722799722799723
"128",128,"Learning",40,0.99245282725,3.04976218244726e+89,"Learning",1043,0.8,"Error correction",TRUE,-400,TRUE,299,"../../2023_05_22_01__seeds_0_500",299,TRUE,1443,0.722799722799723
"129",129,"Mixed bet hedging",3,0.88111794,4.28368987499257e+89,"Mixed bet hedging",1043,0.06,"Error correction",FALSE,-400,TRUE,299,"../../2023_05_22_01__seeds_0_500",299,TRUE,1443,0.722799722799723
"130",130,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1043,0,"Error correction",FALSE,-400,TRUE,299,"../../2023_05_22_01__seeds_0_500",299,TRUE,1443,0.722799722799723
"131",131,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1043,0,"Error correction",FALSE,-400,TRUE,299,"../../2023_05_22_01__seeds_0_500",299,TRUE,1443,0.722799722799723
"132",132,"Other",0,NA,NA,"Other",1043,0,"Error correction",FALSE,-400,TRUE,299,"../../2023_05_22_01__seeds_0_500",299,TRUE,1443,0.722799722799723
"133",133,"Low activity",0,NA,NA,"Low activity",1043,0,"Error correction",FALSE,-400,TRUE,299,"../../2023_05_22_01__seeds_0_500",299,TRUE,1443,0.722799722799723
