"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","lineage_merit_mean","is_learning","relative_depth","is_exploratory_replay","seed","target_window_depth","is_target_window_start","is_target_window_end","dir","true_seed"
"122","Learning",7,0.99560709,3.03919445442231e+89,"Learning",728,0.14,"Small",67.37,TRUE,-282,FALSE,93,18,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"123","Low activity",12,0.656451945,165.846666666667,"Low activity",728,0.24,"Small",67.37,FALSE,-282,FALSE,93,18,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"124","Mixed bet hedging",1,0.97614435,1.27208389585264e+44,"Mixed bet hedging",728,0.02,"Small",67.37,FALSE,-282,FALSE,93,18,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"125","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",728,0,"Small",67.37,FALSE,-282,FALSE,93,18,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"126","Other",0,NA,NA,"Other",728,0,"Small",67.37,FALSE,-282,FALSE,93,18,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"127","Bet-hedged learning",15,0.667575318666667,5.14390447120092e+60,"Bet-hedged learning",729,0.3,"Small",38.22,FALSE,-281,FALSE,93,19,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"128","Error correction",18,0.769804871111111,2.26586442983851e+87,"Error correction",729,0.36,"Small",38.22,FALSE,-281,FALSE,93,19,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"129","Learning",4,0.9948292525,5.69402066807906e+89,"Learning",729,0.08,"Small",38.22,TRUE,-281,FALSE,93,19,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"130","Low activity",11,0.667029190909091,2008.94818181818,"Low activity",729,0.22,"Small",38.22,FALSE,-281,FALSE,93,19,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"131","Mixed bet hedging",2,0.877227215,9.88074183331293e+62,"Mixed bet hedging",729,0.04,"Small",38.22,FALSE,-281,FALSE,93,19,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"132","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",729,0,"Small",38.22,FALSE,-281,FALSE,93,19,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"133","Other",0,NA,NA,"Other",729,0,"Small",38.22,FALSE,-281,FALSE,93,19,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"134","Bet-hedged learning",6,0.69,2.5820134440386e+56,"Bet-hedged learning",730,0.12,"Small",129.24,FALSE,-280,FALSE,93,20,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"135","Error correction",20,0.7451580145,1.28555003864921e+58,"Error correction",730,0.4,"Small",129.24,FALSE,-280,FALSE,93,20,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"136","Learning",6,0.993633763333333,4.02246744951865e+89,"Learning",730,0.12,"Small",129.24,TRUE,-280,FALSE,93,20,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"137","Low activity",17,0.668674141176471,571.882352941176,"Low activity",730,0.34,"Small",129.24,FALSE,-280,FALSE,93,20,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"138","Mixed bet hedging",1,0.78107666,2.7229249164216e+37,"Mixed bet hedging",730,0.02,"Small",129.24,FALSE,-280,FALSE,93,20,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"139","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",730,0,"Small",129.24,FALSE,-280,FALSE,93,20,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
