genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2, seed
"[91]jEotKHcqOIJqesyBatwFeHNxfmqGBnjxdDgmCKrBBDivitIruciPEmiyIyjzdKiFIyiIbLaxxasKhPEDOApdOFHcLEA",1.18305e+29,1.22197e+16,2505,0.667732,29407,9770,19636,9771,9770,0,9770,9770,9770,9770,19637,9866, 159
"[78]veqxJciqBnNIQHmeEpGsIeeyARyknebmwQqFRRoqheaioAeRdmmiAkIResKHRakIJqlupRCdapLxmC",1.18305e+29,1.03954e+12,2165,0.663812,934,313,620,314,313,0,313,313,313,313,621,307, 16
"[116]KGqrOpwojpjKtLEagvjBxpcwRKtDpprtkxpAtzytKEDAGPRatMhlvvbedsdAnkJHExowcOhCwJkdngrvOcDBrKEmFQkgIIpHNlPDRhqsbBDvjkfdaLsu",1.5625,1.5625,2491,1,1,0,1,0,0,0,0,0,0,0,1,1, 160
"[75]KGKtpLmswwHBCKtIoLOFydjIyAgFJHEpvEsgczGGLQDMMOwJdeznbesLBKCziiwrqnMInAPMuiv",1.95312,1.5625,2504,1,2,0,2,0,0,0,0,0,0,0,2,2, 161
"[102]gOpvOyhuJMdjHoaadeoQqPagcNGIKqIAhDbqmPocJJKAeCAOyDNQEtgOMGuFfEBogABjezbCgndsIHPzFmwRtbqkqDRuNOsznpIdbc",1.18305e+29,1.18305e+29,1395,0.666665,1.11481e+09,3.71605e+08,7.43203e+08,3.71605e+08,3.71605e+08,0,3.71605e+08,3.71605e+08,7.43203e+08,3.71599e+08,3.71605e+08,3.71605e+08, 162
"[97]JsKoPuGdqDjHGxxocMLylqfuQfIDEbarqioaLdnRcrAQLClNiJftnfbbuuvkcjIEhiGmqEQGxCeJjgBuNDnpNytiBCCmLgzJl",1.95312,2.25,2495,1,2,0,2,0,0,0,0,0,3,3,3,1, 163
"[102]JGdBgpHvtExyMNaPoHEdtLhGdKmuFwEBPxPdKgbRjJFfoBHkuzsRxDKPkpHgGFEAlkiqmKGfQnAwuoKaLJArLlgzyEuBpLfrsgfirP",2.44141,1.5625,2523,1,3,0,3,0,0,0,0,0,2,2,1,1, 164
"[100]QpdNPwFucOglhiEPiLrDxfmtGNzHOMQqbkdPaRMAptLpKCduKHcqcmNcoqcdpbEIJqdxekaBILHyesJHnKOcpgutgipPkuKIpJfR",1.18305e+29,1.39525e+11,842,0.663504,1792,603,1189,603,603,0,603,603,603,603,1189,586, 165
"[119]KtGQebPMeqaDLfHJbhNRiOOMHmCuwufnLjPmpdaaFaMvraaCHAyhCbsEGAjwcldxKmryarfLDyxPMnedCRcRzpuhLrvJIAJfbRnueHKkpvcCiyRPeFhOIrt",1.95312,1,2540,1,2,0,2,0,0,0,0,0,1,1,1,1, 166
"[103]mRFcHNfczBjPccHIcccccCcFfgggjccEcpcmticccpcccjciEccgcycscqccAOKccyNJEPPccqcclcFicNcrzccLccucKHcDcDcccOG",3.26605e+21,646.235,122,0.651163,731,255,476,255,255,0,255,255,255,255,476,221, 167
"[94]xefcucqccwcccjcaeycccjcccxicccMJEccocpEctcccccccccccKoPcyHcDccRtIxcacjfRLacsucQDnLgcJqccttcPeG",1.18305e+29,18367.1,201,0.658307,1276,435,840,436,435,0,435,435,435,435,841,405, 168
"[110]JiKGQKtulnGGmCBsxCefadjLNvlCuJwRNbvDlbrfKnGDgijlBMGvHRsLhdpLOrKqNsJMkIveeHrDuxtpfrjybMPikEoEcociFbHQLoanvIwobM",2.44141,2,2537,1,3,0,3,0,0,0,0,0,2,1,4,2, 169
"[115]dJAedJfsGqnOtpbnigGLegvMReIpsznfzLKQJlPNHDAbrQEduBqcBiIbyzIJfKtRJseisJINwiFHPraccjqLGDpofMgoLRucatJCrARsBvRBmjnlgKt",1.95312,2,2542,1,2,0,2,0,0,0,0,0,6,3,0,0, 17
"[95]jvrolLFMviNghLHfwrxEeHcouGOJlHAszpqpcvkHGnKMDqkbhaezBLtdPhvgMpiNhzfwasxxsihxCeclcFsRLeFLEvRctsG",136846,1,517,1,52,0,52,0,0,0,0,0,20,20,32,32, 170
"[67]KGndcGCnedIirNlvolKsRrbMbxgevkJuAGzHnqiBGxlNQhHcaMfBphygFiNReEwzncG",2.44141,2,2494,1,3,0,3,0,0,0,0,0,2,1,4,3, 171
"[104]RtPvAlADjqDOHNJtxJLHQqIKqzsHyHJIkBCvzPRiGrMJMLIfcgGqnFeBpxgrDJtwPjpBGpeIdLxuzJjMcKcnkHwFpQMkKpJvPgkOfIbM",1.18305e+29,3.17243e+12,3230,0.654474,1777,614,1163,614,614,0,614,614,1163,549,614,614, 172
"[76]KGiufyHnxOOjKOshhGamDiRgJJLAvnqkQwwhNaPpmpsaEHxaQuhLanlLnetLxyyFhCidufeNmGNs",3.05176,2,2551,1,4,0,4,0,0,0,0,0,2,2,4,2, 173
"[75]KGpxEGRFvLzORiyAtcjxaMpvFKQlCnxdQyGOPwmvttwRExApzAeDgpxpbgDNOmipdOmegIGHDGH",1.95312,1,2554,1,2,0,2,0,0,0,0,0,0,0,2,2, 174
"[96]nJaJLuQHdhytNsGheLAQPJiEmqoeDriJyodaNibyritpQfJhptshzcHLBQkoyHxBgqoByJqQQgtshIvbBjoRkIPgyyHuvexB",3.05176,1,2567,1,4,0,4,0,0,0,0,0,4,4,0,0, 175
"[86]mDeecnzmoQDaEQCxGeuJPfgHdiRcIicclQccccdccGpeeFmiagcKibbgqOolylqbQLrbnKzchhzLIrCCCqhkQc",1.18305e+29,1.18305e+29,687,0.667179,1301,433,868,433,433,0,875,875,1756,881,874,874, 176
