"depth","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"451","6",100,0.85633853,0.885906,0.826923,15695863807473885184,5.47952e+20,23408400000,1.89091e+13,199.28,304,140,28.95,49,17,170.32,258,123,28.96,49,17,28.95,49,17,0,0,0,96,"Error correction","Error correction"
"452","6",100,0.85322903,0.880829,0.832669,6235274108015653888,2.24441e+20,45719500000,3.32387e+13,208.04,301,149,30.75,47,19,177.29,255,129,30.75,47,19,30.75,47,19,0,0,0,97,"Error correction","Error correction"
"453","6",100,0.85311018,0.879195,0.813333,27077807733991899136,2.61284e+21,36575600000,1.065083e+14,209.43,306,146,31.01,49,18,178.42,263,127,31.01,49,18,31.01,49,18,0,0,0,97,"Error correction","Error correction"
"454","6",100,0.8514487,0.880597,0.822134,3770641964665844224,1.79553e+20,29260500000,1.89091e+13,200.76,300,141,30.05,49,17,170.69,254,124,30.07,49,17,30.05,49,17,0,0,0,97,"Error correction","Error correction"
"455","6",100,0.84974919,0.875622,0.825397,315980887974430016,3.0124e+19,8.31633e+11,5.3743e+14,217.01,278,174,32.71,44,25,184.3,239,148,32.71,44,25,32.71,44,25,0,0,0,97,"Error correction","Error correction"
"456","6",100,0.84939493,0.871429,0.825893,17331008027800000,8.47915e+17,3.96553e+12,5.3743e+14,216.66,261,179,32.74,42,25,183.92,221,154,32.74,42,25,32.74,42,25,0,0,0,98,"Error correction","Error correction"
"457","6",100,0.85016194,0.870466,0.82439,158223989259700000,9.87103e+18,3.96553e+12,3.869495e+14,215.59,282,180,32.39,45,25,183.2,237,155,32.39,45,25,32.39,45,25,0,0,0,98,"Error correction","Error correction"
"458","6",100,0.85045858,0.877193,0.827869,117979435513900000,6.31746e+18,3.17243e+12,2.75164e+14,215.55,271,178,32.28,43,25,183.27,232,153,32.28,43,25,32.28,43,25,0,0,0,98,"Error correction","Error correction"
"459","6",100,0.85107699,0.878641,0.817814,170376998236430016,9.87103e+18,8.31633e+11,4.29944e+14,217.83,281,178,32.53,45,25,185.3,238,150,32.53,45,25,32.53,45,25,0,0,0,98,"Error correction","Error correction"
"460","6",100,0.8498546,0.870466,0.821256,618572147335100032,5.88359e+19,2.03035e+12,4.29944e+14,217.05,287,176,32.64,43,25,184.41,245,151,32.64,43,25,32.64,43,25,0,0,0,98,"Error correction","Error correction"
"461","6",100,0.84935404,0.877637,0.822511,11268676462600000,2.77845e+17,1.03954e+12,3.095595e+14,213.82,257,173,32.31,44,25,181.51,216,148,32.31,44,25,32.31,44,25,0,0,0,98,"Error correction","Error correction"
"462","6",100,0.84928675,0.874372,0.824219,8.478690429832e+18,5.47952e+20,1.62428e+12,3.869495e+14,220.13,305,175,33.26,47,25,186.87,259,150,33.26,47,25,33.26,47,25,0,0,0,98,"Error correction","Error correction"
"463","6",100,0.85164372,0.875502,0.825758,477234714713299968,3.7655e+19,2.03035e+12,6.04609e+14,216.2,275,182,32.13,46,25,184.07,238,154,32.13,46,25,32.13,46,25,0,0,0,98,"Error correction","Error correction"
"464","6",100,0.85173637,0.878641,0.830918,59899836628090000,2.58763e+18,6.65306e+11,2.256345e+14,212.94,272,171,31.66,44,25,181.28,230,146,31.66,44,25,31.66,44,25,0,0,0,98,"Error correction","Error correction"
