genome,merit,merit_given,gen,not,nand,and,ornot,andnot,or,nor,xor,equ, seed
"[46]vqzvfkqlfweqtrzivluqyfeiogthqytpjpqjiywfsttvab",3.35544e+07,3.35544e+07,17349,1,1,1,1,1,1,1,1,1, 28
"[53]ruehfjeyseoyqpmrgqhieiiomqvpynipqcqspbqewuttttytaevab",16384,16384.8,27542,1,1,0,1,1,1,1,0,0, 29
"[52]rupvghqizqdgwfvlozpnmmescgcqgupinqplnqfysttttylcsvab",65536,65536.7,30371,1,1,1,1,1,1,1,0,0, 3
"[352]ruppvqofrpfpwqzfndosdiqqnvpjgxpgqbqxutttkyspyvabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaoaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",65536,65540,9550,1,1,1,1,1,1,1,0,0, 30
"[55]ruhsvpmnqtivtiafgqqipgnldpxtqtqtpnptlnuthqouzxttyxgsvab",65536,65536.8,16444,1,1,1,1,1,1,1,0,0, 31
"[55]ruvuqsmtpqpnqdpqpipjqwoqwpwqpzgjtiplnqefpsqluttyesttvkb",65536,65536.7,32421,1,1,1,1,1,1,1,0,0, 32
"[41]rgujqqvizemjhouqpmignttpmqvtqfplttyjstvib",65536,65536.6,30393,1,1,1,1,1,1,1,0,0, 33
"[53]nrumvqnqprlniqequppxqjnopkqplnoqplpqcquutttttyonstvab",16384,16384.7,33804,1,1,0,1,1,1,1,0,0, 34
"[53]ruwjmvuciwlayhqspgpuqyytpgqfeplfglpnqnqycutywdstttvab",2.09715e+06,2.09715e+06,22333,1,1,1,1,1,1,1,0,1, 35
"[55]rzyvqdmuvsykqxbkwnjeupphtgztfttyjnpstqjqtttgyastvvyehvb",65536,65536.6,22794,1,1,1,1,1,1,1,0,0, 36
"[51]rurqxvwxgrinlpcqhpeignvqxfomldqnkqppqfqutttyvjstvab",8192,8192.68,34060,1,0,0,1,1,1,1,0,0, 37
"[48]ejrzzidnuqyprfpjqpqgnlqegqvqpdfprqvsettttyvdzvab",65536,32768.6,29184,1,1,1,1,1,1,1,0,0, 38
"[52]kruvuqqfevquhqfqtppwgltljqhntqpkqftepvqqdqtyiydstvsb",3.35544e+07,3.35544e+07,14634,1,1,1,1,1,1,1,1,1, 39
"[48]ruqvtqsnjpdtqrqjpfnlqwpqppvpqitptnlqlqutttywsvwb",16384,16384.7,35368,1,1,0,1,1,1,1,0,0, 4
"[54]rzqqvgjiffqpcgqppnqlnpnqhpqqiqgpgqylpvnqqmuttyqesttvab",16384,16384.7,32916,1,1,0,1,1,1,1,0,0, 40
"[120]rzgpqpovlrnqpvndglpwqqqutttttyievysdvjkmfmoqwzoqqpqvshcaaaaaaaaaaaaaaaaaaaaaaaajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",16384,16384.7,13415,1,1,0,1,1,1,1,0,0, 41
