genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[106]ArLcScOiPkoKBScjAREENjbBFyhmtuJvHAlNvLculwxoQwGSzBzMfFfSASBrfwFtAfqwzHbiGbINiEExzzkkvQfGOIEGRpNJwGjuQnLxHM",2048,257,1168,11,0,1, 27
"[67]hstLooOPEfGSfGmNgdERBdMpNBoBhemifzEcLAfdxQdgReNRKHuFqokLIcjNifHtanh",16384,64,2823,24,10,0, 28
"[48]mazGPNgcxtveBaGciqPoHDhhAwaDJeDSMIMFfHmhLAtORtMK",1024,17,3395,10,0,1, 29
"[71]pfzEGeDxuEafcHEwhxPpIEsshmmlhnhcknLPjczSnKBcjBoSazmkGrimFcGbAEkhAocKaGp",128,65,2629,8,1,3, 3
"[92]miHRhzrGdLmkBaLcyIocHqHEahKyEnbqgQeLkrbpfbwyByxKJOuRgayLBkntgzthIBbwnLIxLOMRmadREadDmKPRDfry",64,17,3009,6,0,2, 30
"[96]FNRLlEDeclszLFMaADPQlhLpsBeeDnemFEHpviznEcoRFLSPtBctRMwbEdqNuveuRCBnIncsJecJPQmpDcrkBMOghRtobrOK",3.86856e+25,1.07374e+09,1210,110,25,2, 31
"[93]lRmvLOGlgcvhPorejlaLNHPLOJAsPhOowmcjgevMsplvdoIfmrhnyNpcpSltgQxRIaAFflOlyyzAdjcNyueeLkjdbrMtn",2048,257,2455,11,0,3, 32
"[54]yOLdybgRtrAmuooFLlPcEkHdQyuGkLBIAfykcBibyRSPqGAwboHLMK",256,17,3175,9,1,2, 33
"[73]dLfNHHFrPwgefFAilLIeeaSQDjMzsxKEJAzfHzKyShtQPbQvHLQcRPsEPwmdORGaOJMSeSEOB",8192,129,3078,14,1,1, 34
"[75]ylzFBcoabLhODNfaLpEtEcGFSENDrRKHqtMiInuJcoPmQPfthvzFMeEQeaQLHmnIFHhexpKnjnA",8.38861e+06,1024,2667,23,0,3, 35
"[50]ixLzRIledQdukyGGbABgEHnDyMzANgcyKSmrKJBaDztsBhjjIH",64,17,2886,6,0,1, 36
"[83]zRqxQRcbAxPxwyzzaPnRCbuuBbSmREbFPoLMbIoqaHIcpfLHRhEzvERiQFiLRKmkuyCbeSaPJMJHQfrgNxo",4.61169e+18,4.29497e+09,1282,80,18,0, 37
"[78]lyffqjFviOPqyQEOOSwHvrkprQelLmydxsGICcpEywLRfKzQQjeAHSrlLOgMvGOJxeOHfOyyLcmMwG",262144,512,1912,20,2,0, 38
"[87]BiNwyzcSOnlywRMxzPsaAEHRGOIQmJtoiPvNcFMMealycyLlcmKRqiAvuNjLqazMAQIlwMcjwhjemklurwuvArf",8192,2048,2286,14,1,3, 39
"[29]cxiQKleLeGHwnImuuHsrzLLrMImLf",32,33,2936,6,1,2, 4
"[101]BobGGbGxvBNAyEMPCMRBvsCbzegPcOpHeHMaSllclLnybvakGQDjoRcDNkPtjQImkpIczppLPcoNNxcIqpaQJMpFfPDHeJfFPGMKs",16384,1025,3185,15,1,2, 40
"[86]zpScOspEeOkcaGbduvGAOzhEtDqQgfRvzGbPtBrBSzdEtJclAuhHMDKHLARNomRkAdmcefPEzlRORhLINHMySb",2048,257,2848,11,0,2, 41
"[111]ottcQOBlColtDlBzBGnCwtmbzgGqANKwrhBpOIvEBEBhECeAiDkRnELRoRgyyKzNwkhDOFsBRrcHcpsQecwBhwsuRDagyfNHbLGRPGsflfnIenc",64,8,1482,6,0,1, 42
"[84]cneReHkEeNqyLOCrPDkkaBgHQBPyhEDLACgRiGqGoqINhAPAlgEjOpShbBxrIuyNHeGifLMfCxRKHpnzLSuJ",16384,2049,2857,14,0,1, 43
"[64]GovcmcjHbSeAEjLmKaFOocbvOExPANgfuvbREJQNNbNPzQxkyeHSHlsHeFuncLnI",32,5,2818,5,0,2, 44
