genome,merit,merit_given,gen, seed
"[61]qChGedfAzJlCIbavbFvLAHcLBytdiynauvbrodGgwfbgotCdoELczLIiawHLG",32,8,2749, 214
"[71]HxrEIxbnvgHtbugFHwHEenBlHDLskBEKHkIIIugzjdskIgIpurKABIxIrKDxGgEgaiGLgdq",16384,16384,4719, 215
"[95]qpbhBpfiBDjGwhHyBEksAsGfIfyHrbpHjHaEwrhHvyHKrlHyguhFdlJzoxpurBqcHolrefGIcgFiCLgsjvhFBmrthGfHBCt",4096,4096,3826, 216
"[70]pwzpaqehtvnbwcLHomuhEynDKHvHCfyJHmByDEAwmoHwstdcwBhpqGbiLmGfLnBncILdvg",256,256,2790, 217
"[56]xfxHztzbyjCbhskmiGhpquAicGheDltkyxDmpmGnjmlyyrIpkkttbJwK",64,1,2936, 218
"[51]qLBjugEozBhwLHIvctHAjyugtvrlxfruBxlLwBHyvtkakaeijLG",32,8,2622, 219
"[96]icvirwddzgFgxthvoBflonxHzIHxpAHuiwCbHHeujwhkjDAdDIGlrKFdvIIjxoxGIIKIoFlxvujIKiodIALzBqIluEGqzGgA",8192,8192,5318, 22
"[51]vzxqbwfdHmjtfGiEncDibBuKHwokkJHcrBdiFyLctBnIechgdbL",2048,8,3202, 220
"[99]GcCKenczDidAdgqjnheHrDqgfEcBEIpzCpHvtDGgICoHritwwnliHEaKHqIDLvqzpwrkCIdAcsHvEJnHbHFcistKdHHJrnHLgwr",2048,2048,4814, 221
"[99]iwdzHbawBELmigkcEahwckEDLwvJKxdJipjbehskvGyKlLIaehHHHHkvbmKHbJHpwHosBGqeteCGrHwpojzbopksiwznymnuKIn",2048,2048,4590, 222
"[109]hcddaepfGmefaqHjDokEwuHLbblDEiohCxGhsqGukKtLFlHkxoqrjpawjHBEwjcmKrwjrspoBgxrrhthvvsooGEaFHadgGjpFBJmHhumeEvzf",1024,1024,4146, 223
"[69]CmggeKxkCyoAcHeFbotqxrqqHpoEBBexpftjdiwFEsabuEHLLDBgBvGmajkrgfHLnIcLB",32,8,2689, 224
"[49]wxFevdLdbFLmmsHpsFFyyzLwGwBeLuIGBcqHHjoLyrALnKsgA",64,16,2866, 225
"[104]GBFjLdqyHdEoFfevHouxdlruxzpHGvwhezHHwjefKkGHpqydGBcuJamkiixHkeGpceAxknbFAHaKHJGritHFHfeJAHKkHHxGyCgswext",8192,0,5500, 226
"[58]htnaEHEpqILhrjzHfHxwLsjcwsHmaptEHKHJBnHoHKHaaJHHJpwquwGCao",65536,65536,5386, 227
"[92]zHvibdfuIHooxvHixwbdxgoFjyHyrDqxdxseiHDBKHmcJAyHgflqDLEGhejklCzxmoxLJqesgxmxfmkxzJjoKDEJktcv",8.38861e+06,8.38861e+06,4082, 228
"[68]aeEjyAHGngheknLeEzErDnetzkwDytDCDqmCyIghclaolLGtLcncIenwjyhzwEunzgLd",32,8,2651, 229
"[78]vezjbifsHIxxHHpfciHyHnwaKBDvevDaHIrIswIDuezvGDhjEoicovgklEIIFKaILIBKeffqtJJqGC",16384,16384,4562, 23
"[99]ClzrDzjcvljEiClubHeIbbAprlvFufhjciFghbvypydHFHytHwahGbcKrbDAbmHDaECHkfxefmBEFaFFBJjfbGyGzBHHcbdFJsb",524288,128,2698, 230
"[84]DcLaxtEbrEHfBbjgrIHhHskHBiBnpyKmvzHuubAgLEFsFGHmcLJrdHDoeyGzybedHHKHxbsHvnGqKpGLKmDt",8192,8192,4039, 231
