"","id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","genome","genome_length"
"15829",2483595,"2481656",96857,98422,0,33,1,2550,606,"[95]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBORbljpNBQDHcmmNMBviNbkOMPLfuDENwGMeciHNNGRDLAtKkAQncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBORbljpNBQDHcmmNMBviNbkOMPLfuDENwGMeciHNNGRDLAtKkAQncJM","95"
"15983",2481656,"2479323",96778,96986,0,4,1,2550,605,"[95]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBORbljpNBQDHcmmNMBviNbkOMPLfuAENwGMeciHNNGRDLAyKkAQncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBORbljpNBQDHcmmNMBviNbkOMPLfuAENwGMeciHNNGRDLAyKkAQncJM","95"
"15974",2479323,"2470862",96685,96789,0,2,1,2550,604,"[95]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkbljpNBQDHcmmNMBviNbkOMPLfuAENwGMeciHNNGRDLAyKkAQncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkbljpNBQDHcmmNMBviNbkOMPLfuAENwGMeciHNNGRDLAyKkAQncJM","95"
"16577",2470862,"2469018",96340,96739,0,6,1,2550,603,"[95]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkbljpNBQDHcmmNMBviNbkOMPLfuAENwGMEciHNLGRDLAyKkAQncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkbljpNBQDHcmmNMBviNbkOMPLfuAENwGMEciHNLGRDLAyKkAQncJM","95"
"15980",2469018,"2466819",96266,96475,0,4,1,2550,602,"[95]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkbljpNBQDHcmmNMBviNbkOMPLfuAENwGMEciHNLGuDLAyKkAQncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkbljpNBQDHcmmNMBviNbkOMPLfuAENwGMEciHNLGuDLAyKkAQncJM","95"
"15979",2466819,"2462952",96176,96283,0,1,1,2550,601,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHcmmNMBviNbkOMPLfuAENwGMEciHNLGuDLAyKkAQncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHcmmNMBviNbkOMPLfuAENwGMEciHNLGuDLAyKkAQncJM","94"
"15978",2462952,"2461047",96018,96252,0,5,1,2550,600,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHcmmNMBviNbkOMPLfuDENwGMEciHNLzuDLAyKkAQncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHcmmNMBviNbkOMPLfuDENwGMEciHNLzuDLAyKkAQncJM","94"
"15970",2461047,"2460316",95940,96040,0,3,1,2550,599,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHcmmNMBviNbkOMPLfuDENwGMEciHNLzuDLAyKkAQnRJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHcmmNMBviNbkOMPLfuDENwGMEciHNLzuDLAyKkAQnRJM","94"
"15977",2460316,"2453488",95911,95987,0,2,1,2550,598,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHkmmNMBviNbkOMPLfuDENwGMEciHNLzuDLAyKkAQnRJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHkmmNMBviNbkOMPLfuDENwGMEciHNLzuDLAyKkAQnRJM","94"
"15976",2453488,"2450878",95629,95945,0,13,1,2550,597,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHkmmNMBviNbkOMPLfuDENwGMEciHNLzRDLAyKkAQnRJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBOkblpNBQDHkmmNMBviNbkOMPLfuDENwGMEciHNLzRDLAyKkAQnRJM","94"
