genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[89]qDygzSLHutMsaccIuLBwwHNcgjebRideLRKNCRbqPkNsOdGsEPcFPIbJJDDguawxkQEGQqasbBjuejRwNEdMuxxdm",2.65846e+36,3.24519e+32,88,122,1,3, 163
"[90]qygzxbsutOfNSccyuLBwAHPcNQebHmaeLRKNCRbqPkOoONGjERcFPIAJlJDugdaGDKLkQqqPbKGueSbwNDFMJhxjdG",3.24519e+32,5.1923e+33,52,109,1,3, 164
"[87]qygzSbHuoOINSccyuLBwwHPcNjebaiaeLRKNCRbqGkOwOuGsExcGPIAJlJDuJuaGDKLqqPbKjueKbwNDmMJhxdu",1.44115e+17,65,5,83,26,0, 165
"[89]qygrSbHviOINSncefLBwwHPcujepaiaeLRKNCRbqPuOwRafsExoGPIAJlJDGdLaFRKLkQfqPbCDusobQkDbwJhxIz",2.65846e+36,1.03846e+34,66,122,1,3, 166
"[87]qygzSbHutOIMiccyuLBwHPcNjebaiaeLRKNCRbqPkNwOcGyExQGPIAJlJDuKuaGDooNQqqfbGjuehhnNDmMhxdu",1.03846e+34,1.62259e+32,46,114,1,3, 167
"[88]qMEpLdgmzCONzkGRcynLBxwHlPcGPPbimeLRKNCRbqbQOjOusExMGPIJgJDMduaKDdpDeeSazKeNrQuwNEBMjydP",4.25353e+37,5.1923e+33,170,127,2,1, 168
"[89]qygzSbHutOINSccyuLBwwHPcNjebfiaeLRKNCRbqPkOBOuGsExcGPIAJlJDuguaGDKInQqqPbKjueKbgNDmMehxdu",3.24519e+32,5.0706e+30,15,111,3,2, 169
"[82]qygzDIHuOINScnSuLBwjHPgbeeaiaeLRKNCRbqPFPuPlExoGPIAJlJDubunGwKLfqtPjfuwubjNDtJhxDP",4.25353e+37,6.49037e+32,88,126,1,3, 17
"[92]FygzSbHADbINiccFuLBxHPcsjoyaQarLRKNCRbqvLeuONGsExsuPIJvcJvDDusQlAvDsGkQCcsFbrrIuOvFAabglRklu",1.06338e+37,1.03846e+34,177,124,1,1, 170
"[91]qygzSsHutOIgSEcyuLBtjHPcNjebgiaeLRKNCRfqPkOwOaGsExcOPIAJlJDBGuaGDuLDQqqPbKjkeKbwNDSatmhzxFu",2.65846e+36,3.24519e+32,74,122,1,1, 171
"[88]qycfAbHRjINSbcyuLBwwHPcNjebaiajLRKNCRbqPAMfOeGtEPcGPIAJlJDKghoGDKFkQqqPsKjleuPuvqDMJgxdr",2.12676e+37,1.62259e+32,61,128,4,1, 172
"[91]qygMBHAttOIrNzcmhegDLBwAHCcQRrRahaeLRKNCReqPelpcxdlEePGPIrJJDAEpaGkRvkQsyqxRqqdablLpbIOwxau",8.50706e+37,1.03846e+34,213,127,1,3, 173
"[87]qgzSfHitOISNccsuLBwwHzcNjobaiaeLRKNCObqPcOjdnGAEucPIAJJDmgyaGwjKRfMLcPEKHLLnbKoKjMMhjRM",6.64614e+35,6.49037e+32,113,120,1,3, 174
"[89]oygzSjgOzOIbctHyMLBwjHPcNBbbahaeLRKNCRfqPfOowoGsEjfuPIaJlJDuQuamRKLkQmqPAKjueKekvDzMJhxdu",2.12676e+37,5.1923e+33,85,127,3,3, 175
"[89]mygzSbHutOINSccyuLBwwHPcNjebaiaeLRKNCRbqPkOoOpGGExcGPIMJlJDuguanDKRkdqwPbKjxeKbwNDmMJhxdv",6.49037e+32,1.62259e+32,30,110,1,3, 176
"[85]qyuAtjHkhIcwBxlbdLBwHPmzjPeakMeLRKNCObqNQouPwEFoGPIfJJDNzOuSPwFupBufqzRcyhJCINDtvJbqi",8.50706e+37,1.03846e+34,323,127,1,1, 177
"[85]ggzixHntINSccyLBwwHPcNjebaiaeLRKNCRbqPkfwPbGsExcLPIJcJDugurjjlKkQqDxbKjherbwdDfEahaJa",2.12676e+37,1.03846e+34,96,125,1,1, 178
"[89]qygzSbHutOINSccyuLBwwHPcNjebaiaeLRKNCRbqPkOwOuGnExcGPIAJlJDuguaGDKLkQqqPbKjueKbwNDmMJhxdu",512,3.16913e+29,2,10,1,1, 179
"[87]qgzMbHutOINSSNyQLBbsHPcSjebaiaeLRKNCObqPkNyOaGsExpmPIyJJDujtbGDKxkQqqPbKjuzBswcDeLxhtxu",2.65846e+36,1.62259e+32,125,122,1,1, 18
"[88]qxgzSvHqROINsecyuLBwwHPbrjebagaLRKNCRbqPkNeHnGsExMcsmPIJlJDoRtDGIyxkcFqwgvuevgwBwlMJhILu",8.50706e+37,1.03846e+34,114,127,1,1, 180
"[84]NygbvbzRuxwINyccuLBwHPcNjbhEaeLRKNCRbqPnOcOoGExcPIAJlJDFuaGwKLkQjAHbKxuKhozIDzdJdxtf",5.31691e+36,5.1923e+33,84,124,2,3, 181
"[88]bGgzSbHqtOINScnAyuLBwwHPcNjebaiaeLRKNCRbqPEOctNHExcGPIAJlJDugqaGDQMkKlqPbKjuKKlwNDmJhzdA",8.30767e+34,1.29807e+33,55,117,1,3, 182
"[79]lygrSbHuILPKtLBwHPctjebaiaeLRKNCRbqtepcDiEecaPIJhJDuhLfrmQkQDqpbucjcswhGjJfaJle",2.12676e+37,8.30767e+34,235,128,4,1, 183
"[87]qygvSzHqOINSctyAQLBtwHPcNjpbawaeLRKNCRqPknGNunsEtcvPIsJlJDuKuEGDKQHqePbKjNymfwmDtlQhsNh",1.06338e+37,1.03846e+34,108,124,1,3, 184
"[90]ilgASbHutjIpQoCRuLBwwHOcNjbaiaeLRKfNCRbqPkwatoksEycPGPIeJlJDmaHJMfyOdatqPwgeuSaANvogRPCxlg",8.50706e+37,1.03846e+34,99,127,1,1, 185
"[88]vxygzsbHtuxIPFquyuLBbwHPcNjecaiaeLRKNCRbqPOwOaGfEoGPIAJyJDvhGabDHQeQqDMnKrPeKbwNDACnhxsu",2.65846e+36,1.29807e+33,86,122,1,1, 186
"[86]qygiSHuAOINSccyuLBwHPcNjebaiamLRKNCRbqPkdwdoGsENcGPIAJlJDusuaDKLGaQqqzbKjueKbwNDmkhxDu",2.65846e+36,1.62259e+32,55,122,1,3, 187
"[89]qygzSbHutOINSccyuLBwwHPcNjebaiaeLRKNCRbqPkOwOuGsExcGPIAJAJDuguaGDglhQqqPbKzueKbwNDmMJhFdu",1.29807e+33,4.05648e+31,20,111,1,2, 188
"[90]qygzSdHssOIsSccyulLBrwHPcNjebkiaeLRKNCRbqPkjwOeGsEocvPIAJlJDuguaGDKLqQqEPbKjuembwNBmMchxdu",1.32923e+36,1.62259e+32,46,121,1,3, 189
"[87]qygzSbHbtOINSccyuLBwwHPcieebrCaeLRKNCRbqPkOwpubExPGPIAJlJDxuuaGRlLkQqPnKRueKwNDzMezhGwu",8.50706e+37,1.03846e+34,51,127,1,1, 19
"[89]qngzSqHtpOFINtccuLBmwHPcDdebaiaeLRKNCRbqPkOwOupOEeoGPIAJlJDugGadKKMPQpqPqKjueubwPmMJGhCqu",4.15384e+34,6.49037e+32,64,116,1,1, 190
"[85]qygzSbHxtOIFSxohuLBhwHPlzjdbpMaeLRKNCRbqPdOfuoxEoGPIJlJDuguaKdfwFRkyPbKuhKbpdDmMPCupO",8.50706e+37,1.03846e+34,125,127,1,1, 191
